"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE967967339355";"WEA Lehe 3";"In Betrieb";"Wind";"5000";"5000";"27.9.2013";"27.11.2020";"Bremen";"27574";"Bremerhaven";"Westerwiese";"5";"";"";"04012000";"53,550786";"8,622806";"";"";" -";"130";"135";"Adwen GmbH";"AD5-135";"";"";"Horizontalläufer";"Windkraft an Land";"27.9.2022";"";"";"Bremerhaven-Lehe Windkraft GmbH & Co. KG";"ABR938462184047";"Volleinspeisung";"SGE986662981256";"wesernetz Bremerhaven GmbH (SNB985704986426)";"SNB985704986426";"Geprüft";"Mittelspannung";"SEL907399602962";"EEG956800688040";"E21432010001072757000101916900001";"27.9.2013";"5000";"";"";"";"";""
"SEE937384558813";"MS G1 Grenzstraße 1";"In Betrieb";"Wind";"2500";"2500";"15.5.2014";"26.11.2020";"Mecklenburg-Vorpommern";"18246";"Oettelin";"";"";"Kassow";"1, 237";"13072120";"53,866129";"12,078244";"";"";"MS Mecklenburger Schweiz";"140";"99,8";"Nordex Energy GmbH";"N100/99.8/2500";"";"";"Horizontalläufer";"Windkraft an Land";"19.4.2021";"";"";"ENERTRAG Windfeld Mecklenburger Schweiz GmbH & Co. KG";"ABR930276564770";"Volleinspeisung";"SGE902693336193";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL942413285370";"EEG915967555176";"E4186001EA01000000000060422300004";"15.5.2014";"2500";"";"";"";"";""
"SEE953489676450";"Hohenfels WEA 2";"In Betrieb";"Wind";"500";"500";"10.12.1997";"25.11.2020";"Niedersachsen";"31319";"Sehnde";"";"";"Sehnde";"Flur 4: Flurstück 18";"03241016";"52,289783";"9,921453";"";"";"Hohenfels WP";"65";"40";"ENERCON GmbH";"E-40 (0,5MW)";"";"";"Horizontalläufer";"Windkraft an Land";"16.12.2020";"";"";"Windwärts Energie GmbH & Co. Projekt Laatzen KG";"ABR906785347098";"Volleinspeisung";"SGE952905169293";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Mittelspannung";"SEL931955685076";"EEG927985486172";"E218780100000E0000000001932200030";"10.12.1997";"500";"";"";"";"";""
"SEE916036196429";"NX-9102";"In Betrieb";"Wind";"1000";"1000";"27.8.1998";"25.11.2020";"Mecklenburg-Vorpommern";"18236";"Kröpelin";"Boldenshäger Weg";"5";"";"";"13072058";"54,085598";"11,753751";"";"";"Boldenshagen";"60";"54";"Nordex Energy GmbH";"Nordex N-54 (M)";"";"";"Horizontalläufer";"Windkraft an Land";"22.6.2021";"";"";"Westwind Windpark GmbH & Co. KG";"ABR942193079558";"Teileinspeisung (einschließlich Eigenverbrauch)";"SGE948448928008";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL901193610369";"EEG993100986353";"E41860010000000000602127243300006";"27.8.1998";"1000";"";"";"";"";""
"SEE922550367344";"Hohenfels WEA 3";"In Betrieb";"Wind";"500";"500";"11.12.1997";"25.11.2020";"Niedersachsen";"31319";"Sehnde";"";"";"Sehnde";"Flur 4: Flurstück 18";"03241016";"52,288297";"9,921667";"";"";"Hohenfels WP";"65";"40";"ENERCON GmbH";"E-40 (0,5MW)";"";"";"Horizontalläufer";"Windkraft an Land";"16.12.2020";"";"";"Windwärts Energie GmbH & Co. Projekt Laatzen KG";"ABR906785347098";"Volleinspeisung";"SGE952905169293";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Mittelspannung";"SEL931955685076";"EEG983597922255";"E218780100000E0000000001932200020";"11.12.1997";"500";"";"";"";"";""
"SEE919141211810";"481475";"In Betrieb";"Wind";"800";"800";"3.12.2007";"25.11.2020";"Sachsen-Anhalt";"06925";"Annaburg";"";"";"Purzien";"Flur 4: Flurstück 3";"15091010";"51,7603";"12,97795";"";"";"Windpark Purzien GmbH & Co. KG";"75,6";"48";"ENERCON GmbH";"E 48";"";"";"Horizontalläufer";"Windkraft an Land";"27.4.2022";"";"";"Windpark Purzien GmbH & Co. KG";"ABR948504876854";"Volleinspeisung";"SGE976590586449";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL905394011109";"EEG959001368858";"E41081010000000000000000000013618";"3.12.2007";"800";"";"";"";"";""
"SEE910745539348";"AN-19-636";"In Betrieb";"Wind";"2300";"2300";"10.11.2005";"8.12.2020";"Niedersachsen";"31234";"Edemissen";"Sievershauser Str.";" -";"";"";"03157001";"52,389077";"10,14469";"";"";"Windpark Oelerse";"100";"82";"Siemens Wind Power GmbH & Co. KG";"AN Bonus 2,3MW";"";"";"Horizontalläufer";"Windkraft an Land";"11.1.2021";"";"";"Windpark Oelerse II ApS & Co. KG";"ABR996401976788";"Volleinspeisung";"SGE984306916138";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL979979952019";"EEG964054705932";"E2026001HSA00EDEMISSENE0100000007";"10.11.2005";"2300";"";"";"";"";""
"SEE965115594519";"17146";"In Betrieb";"Wind";"2000";"2000";"9.10.2003";"25.11.2020";"Niedersachsen";"27259";"Wehrbleck";"Diepholzer Str.";"57";"";"";"03251045";"52,651";"8,710745";"";"";"Wehrbleck";"100";"80";"Vestas Deutschland GmbH";"V80";"";"";"Horizontalläufer";"Windkraft an Land";"25.3.2021";"";"";"Volkswind GmbH & Co. Wehrbleck KG";"ABR960466497854";"Volleinspeisung";"";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL909245920657";"EEG919753145367";"E218780100000E002B171314342100010";"9.10.2003";"2000";"";"";"";"";""
"SEE952595453115";"Alsleben 15552314 WEA 38";"In Betrieb";"Wind";"1500";"1500";"9.2.2006";"25.11.2020";"Sachsen-Anhalt";"06425";"Alsleben";"";"";"Alsleben";"Flur 3: Flurstück 1008";"15089005";"51,717282";"11,633919";"";"";"Windpark Alsleben";"96";"77";"GE Wind Energy GmbH";"GE1.5sL";"";"";"Horizontalläufer";"Windkraft an Land";"24.6.2021";"";"";"Windpark Alsleben GmbH & Co. KG";"ABR921700805217";"Volleinspeisung";"SGE985349456407";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL991008955525";"EEG976602040877";"E41081010000000000000000000005456";"9.2.2006";"1500";"";"";"";"";""
"SEE986178800805";"ZLS01_84440";"In Betrieb";"Wind";"2400";"2400";"8.12.2015";"25.11.2020";"Rheinland-Pfalz";"56288";"Zilshausen";"";"";"Zilshausen";"Flur 6 Flurstück 37/1";"07140504";"50,10203";"7,399234";"";"";"WP Zilshausen";"140,6";"117";"Nordex Energy GmbH";"N117";"";"";"Horizontalläufer";"Windkraft an Land";"15.2.2021";"";"";"Zilshausen Wind GmbH & Co.KG";"ABR992508534210";"Volleinspeisung";"SGE994522195569";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL960431707384";"EEG934973108770";"E31238010000000000000037407091676";"8.12.2015";"2400";"";"";"";"";""
"SEE976750136040";"Wetzen2";"In Betrieb";"Wind";"2780";"2780";"20.5.2017";"25.11.2020";"Niedersachsen";"21385";"Oldendorf";"";"";"Wetzen";"2; 33/43";"03355027";"53,186207";"10,249508";"";"";"WP Wetzen";"139";"120";"General Electric Deutschland Holding GmbH";"GE2.75-120";"";"";"Horizontalläufer";"Windkraft an Land";"24.6.2021";"";"";"Windpark Wetzen GmbH & Co. KG";"ABR968929494860";"Volleinspeisung";"SGE975595963798";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL926615958409";"EEG987778461892";"E2187801EA01000000000088227600002";"20.5.2017";"2780";"";"";"";"";""
"SEE950471140067";"WEA 1326";"In Betrieb";"Wind";"600";"600";"19.8.1999";"25.11.2020";"Mecklenburg-Vorpommern";"17121";"Görmin";"Koppelweg";"1";"";"";"13075036";"53,993276";"13,30648";"";"";"WP Görmin";"65";"47";"Vestas Deutschland GmbH";"V47";"";"";"Horizontalläufer";"Windkraft an Land";"7.12.2020";"";"";"Vela Schrauben GmbH";"ABR923442961503";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL990062268046";"EEG930560022849";"E41860010000000000602127988100002";"19.8.1999";"600";"";"";"";"";""
"SEE965048914132";"78805";"In Betrieb";"Wind";"2000";"2000";"18.3.2008";"25.11.2020";"Sachsen";"01623";"Lommatzsch";"";"";"Scheerau";"Flurstück 41";"14627130";"51,210353";"13,287308";"";"";"Windpark Andreas Dorner";"98,2";"71";"ENERCON GmbH";"E 70 (wistec)";"";"";"Horizontalläufer";"Windkraft an Land";"4.11.2022";"";"";"Windpark Andreas Dorner";"ABR903223242007";"Volleinspeisung";"SGE905757494501";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL908215252194";"EEG919448401914";"E41874010000000000114048957200001";"18.3.2008";"2000";"";"";"";"";""
"SEE926924411749";"Alsleben 15552289 WEA39";"In Betrieb";"Wind";"1500";"1500";"7.12.2005";"25.11.2020";"Sachsen-Anhalt";"06425";"Alsleben";"";"";"Alsleben";"Flur 2: Flurstück 1008";"15089005";"51,715572";"11,646373";"";"";"Windpark Alsleben";"96";"77";"GE Wind Energy GmbH";"GE1.5sL";"";"";"Horizontalläufer";"Windkraft an Land";"24.6.2021";"";"";"Windpark Alsleben GmbH & Co. KG";"ABR921700805217";"Volleinspeisung";"SGE985349456407";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL991008955525";"EEG962038350390";"E41081010000000000000000000005457";"7.12.2005";"1500";"";"";"";"";""
