"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE923802377883";"WEA 2";"In Planung";"Wind";"5700";"5700";"";"1.2.2019";"Baden-Württemberg";"78183";"Hüfingen";"";"";"Fürstenberg";"1490/1";"08326005";"47,881949";"8,592151";"";"";"Windpark Länge";"164";"163";"Nordex SE";"N163/5.x";"";"";"Horizontalläufer";"Windkraft an Land";"23.2.2023";"";"1.10.2024";"solarcomplex GmbH & Co. KG Windpark Länge";"ABR968018016836";"Volleinspeisung";"SGE969844675464";"naturenergie netze GmbH (SNB945502201350)";"SNB945502201350";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE950179793688";"WEA 3";"In Planung";"Wind";"5700";"5700";"";"1.2.2019";"Baden-Württemberg";"78183";"Hüfingen";"";"";"Fürstenberg";"1490/1";"08326005";"47,880898";"8,597642";"";"";"Windpark Länge";"164";"163";"Nordex SE";"N163/5.7";"";"";"Horizontalläufer";"Windkraft an Land";"23.2.2023";"";"1.10.2024";"solarcomplex GmbH & Co. KG Windpark Länge";"ABR968018016836";"Volleinspeisung";"SGE969844675464";"naturenergie netze GmbH (SNB945502201350)";"SNB945502201350";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE926034105682";"WEA 4";"In Planung";"Wind";"5700";"5700";"";"1.2.2019";"Baden-Württemberg";"78183";"Hüfingen";"";"";"Fürstenberg";"1492";"08326005";"47,881193";"8,604953";"";"";"Windpark Länge";"164";"163";"Nordex SE";"N163/5.7";"";"";"Horizontalläufer";"Windkraft an Land";"23.2.2023";"";"1.10.2024";"solarcomplex GmbH & Co. KG Windpark Länge";"ABR968018016836";"Volleinspeisung";"SGE969844675464";"naturenergie netze GmbH (SNB945502201350)";"SNB945502201350";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE971087087461";"WEA 6";"In Planung";"Wind";"5700";"5700";"";"1.2.2019";"Baden-Württemberg";"78183";"Hüfingen";"";"";"Fürstenberg";"1491";"08326027";"47,890047";"8,599871";"";"";"Windpark Länge";"164";"163";"Nordex SE";"N163/5.7";"";"";"Horizontalläufer";"Windkraft an Land";"23.2.2023";"";"1.10.2024";"solarcomplex GmbH & Co. KG Windpark Länge";"ABR968018016836";"Volleinspeisung";"SGE969844675464";"naturenergie netze GmbH (SNB945502201350)";"SNB945502201350";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE910634021237";"WEA 7";"In Planung";"Wind";"5700";"5700";"";"1.2.2019";"Baden-Württemberg";"78166";"Donaueschingen";"";"";"Neudingen";"2195";"08326012";"47,890135";"8,60723";"";"";"Windpark Länge";"164";"163";"Nordex SE";"N163/5.7";"";"";"Horizontalläufer";"Windkraft an Land";"23.2.2023";"";"1.10.2024";"solarcomplex GmbH & Co. KG Windpark Länge";"ABR968018016836";"Volleinspeisung";"SGE969844675464";"naturenergie netze GmbH (SNB945502201350)";"SNB945502201350";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE993918975099";"WEA 8";"In Planung";"Wind";"5700";"5700";"";"1.2.2019";"Baden-Württemberg";"78166";"Donaueschingen";"";"";"Neudingen";"2195";"08326012";"47,889817";"8,614181";"";"";"Windpark Länge";"164";"163";"Nordex SE";"N163/5.7";"";"";"Horizontalläufer";"Windkraft an Land";"23.2.2023";"";"1.10.2024";"solarcomplex GmbH & Co. KG Windpark Länge";"ABR968018016836";"Volleinspeisung";"SGE969844675464";"naturenergie netze GmbH (SNB945502201350)";"SNB945502201350";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE958839237145";"WKA 4";"In Planung";"Wind";"3450";"3450";"";"6.2.2019";"Hessen";"34388";"Trendelburg";"";"";"Gemarkung Trendelburg";"Flur 1, Flurstück 1/1";"06633025";"51,625131";"9,382533";"";"";"Windpark Bad Karlshafen";"149";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"6.2.2019";"";"3.2.2020";"Windpark Bad Karlshafen GmbH & Co. KG";"ABR956468840422";"Volleinspeisung";"SGE994582645288";"EAM Netz GmbH (SNB971311555230)";"SNB971311555230";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE927210958030";"WEA 6 / 1011501";"In Planung";"Wind";"3050";"3050";"";"19.2.2019";"Niedersachsen";"21730";"Balje";"";"";"Balje";"Flur 43, Flurstück 3/2";"03359004";"53,792942";"9,143792";"";"";"Geversdorf";"135";"101";"ENERCON GmbH";"E-101";"";"";"Horizontalläufer";"Windkraft an Land";"12.3.2021";"";"31.8.2021";"GREE Geversdorf GmbH & Co. KG";"ABR917631835034";"Volleinspeisung";"SGE933863223463";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"";"Hochspannung";"";"";"";"";"";"";"";"";"";""
"SEE990780244247";"WEA 1";"In Planung";"Wind";"3300";"3300";"";"22.2.2019";"Mecklenburg-Vorpommern";"18519";"Sundhagen";"";"";"Wilmshagen";"Flur1: 202/3";"13073090";"54,166837";"13,182058";"";"";"Windpark Mannhagen";"137";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"21.7.2021";"";"30.6.2022";"wpd Windpark Nr. 263 Renditefonds GmbH & Co. KG";"ABR953208966008";"Volleinspeisung";"SGE941824033952";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE946826573239";"GM1";"In Planung";"Wind";"3150";"3150";"";"22.2.2019";"Bayern";"84104";"Rudelzhausen";"";"";"Grünberg";"523";"09178122";"48,59";"11,8";"";"";"GM1";"135,4";"101";"ENERCON GmbH";"E101";"";"";"Horizontalläufer";"Windkraft an Land";"21.8.2019";"";"30.8.2019";"natürliche Person (ABR936835631488)";"ABR936835631488";"Volleinspeisung";"SGE979302345716";"Bayernwerk Netz GmbH (SNB940352624434)";"SNB940352624434";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE904399693693";"HOSE3 WEA 03";"In Planung";"Wind";"2500";"2500";"";"22.2.2019";"Brandenburg";"14913";"Hohenseefeld";"";"";"Hohenseefeld";"Flur3: 129";"12072298";"51,902885";"13,31092";"";"";"Hohenseefeld III";"120";"120";"GE Wind Energy GmbH";"GE2.5-120";"";"";"Horizontalläufer";"Windkraft an Land";"12.3.2021";"";"31.1.2022";"Windpark Hohenseefeld 3 GmbH & Co. KG";"ABR996190795614";"Volleinspeisung";"SGE964696682059";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Hochspannung";"";"";"";"";"";"";"";"";"";""
"SEE972300781289";"HOSE3 WEA 01";"In Planung";"Wind";"2500";"2500";"";"22.2.2019";"Brandenburg";"14913";"Hohenseefeld";"";"";"Hohenseefeld";"Flur1: 14";"12072298";"51,9032";"13,326695";"";"";"Hohenseefeld III";"120";"120";"GE Wind Energy GmbH";"GE2.5-120";"";"";"Horizontalläufer";"Windkraft an Land";"12.3.2021";"";"31.1.2022";"Windpark Hohenseefeld 3 GmbH & Co. KG";"ABR996190795614";"Volleinspeisung";"SGE964696682059";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Hochspannung";"";"";"";"";"";"";"";"";"";""
"SEE959565131486";"WP Kreepen WKA 1";"In Planung";"Wind";"3450";"3450";"";"24.2.2019";"Niedersachsen";"27308";"Kirchlinteln";"";"";"Kreepen";"Flur2: 12/1.";"03361005";"52,983023";"9,364869";"";"";"WP Kreepen";"149";"126";"Vestas Deutschland GmbH";"V126 3.45MW";"";"";"Horizontalläufer";"Windkraft an Land";"10.9.2021";"";"1.1.2020";"ELKO-Wind GmbH & Co. KG";"ABR999051169296";"Volleinspeisung";"SGE957636542841";"EWE NETZ GmbH (SNB951051725711)";"SNB951051725711";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE979724982896";"Halenbeck III WS1";"In Planung";"Wind";"3300";"3300";"";"26.2.2019";"Brandenburg";"16945";"Halenbeck-Rohlsdorf";"";"";"Warnsdorf";"Flur107: 071";"12070096";"53,268083";"12,27615";"";"";"Halenbeck III WS 1";"141,5";"117";"Vestas Deutschland GmbH";"Vestas V-117 3,3MW";"";"";"Horizontalläufer";"Windkraft an Land";"27.2.2019";"";"30.6.2020";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"Volleinspeisung";"SGE905979226850";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Umspannebene Hochspannung/Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE980706304087";"EE Viertkamp ApS & Co. KG";"In Planung";"Wind";"3450";"3450";"";"25.2.2019";"Niedersachsen";"21726";"Kranenburg";"";"";"Kranenburg";"Flur 6: 182";"03359029";"53,591929";"9,211715";"";"";"EE Viertkamp ApS & Co. KG";"";"";"";"";"";"";"Horizontalläufer";"Windkraft an Land";"25.2.2019";"";"31.12.2019";"EE Urja ApS & Co. KG";"ABR917735483919";"";"SGE907704290754";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"SEE936322761209";"Halenbeck III WS2";"In Planung";"Wind";"3300";"3300";"";"26.2.2019";"Brandenburg";"16945";"Halenbeck-Rohlsdorf";"";"";"Warnsdorf";"Flur107: 69";"12070096";"53,269899";"12,287462";"";"";"Halenbeck III";"141,5";"117";"Vestas Deutschland GmbH";"Vestas V-117 3,3MW";"";"";"Horizontalläufer";"Windkraft an Land";"26.2.2019";"";"30.6.2020";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"Volleinspeisung";"SGE905979226850";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Umspannebene Hochspannung/Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE939450464387";"WEA1";"In Planung";"Wind";"3600";"3600";"";"26.2.2019";"Schleswig-Holstein";"25873";"Rantrum";"";"";"Rantrum";"Flur 1, Flurstück 16";"01054106";"54,462585";"9,144559";"";"";"WKN Windkraft Nord GmbH & Co. Bürgerwindpark Rantrum KG";"91";"117";"Nordex SE";"N117/3600 Delta";"";"";"Horizontalläufer";"Windkraft an Land";"4.1.2023";"";"1.6.2023";"WKN Windkraft Nord GmbH & Co. Bürgerwindpark Rantrum KG";"ABR939369547454";"Volleinspeisung";"SGE936700247684";"Schleswig-Holstein Netz AG (SNB919861978666)";"SNB919861978666";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE980050227988";"Halenbeck III WS3";"In Planung";"Wind";"3300";"3300";"";"26.2.2019";"Brandenburg";"16945";"Halenbeck-Rohlsdorf";"";"";"Warnsdorf";"Flur107: 74, 78";"12070096";"53,269449";"12,292575";"";"";"Halenbeck III";"141,5";"117";"Vestas Deutschland GmbH";"Vestas V-117 3,3MW";"";"";"Horizontalläufer";"Windkraft an Land";"26.2.2019";"";"30.6.2020";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"Volleinspeisung";"SGE905979226850";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Umspannebene Hochspannung/Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE919099302769";"Halenbeck III WS4";"In Planung";"Wind";"3300";"3300";"";"26.2.2019";"Brandenburg";"16945";"Halenbeck-Rohlsdorf";"";"";"Warnsdorf";"Flur107:75";"12070096";"53,267534";"12,294991";"";"";"Halenbeck III";"141,5";"117";"Vestas Deutschland GmbH";"Vestas V-117 3,3MW";"";"";"Horizontalläufer";"Windkraft an Land";"26.2.2019";"";"30.6.2020";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"Volleinspeisung";"SGE905979226850";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Umspannebene Hochspannung/Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE912209308651";"Halenbeck III WS5";"In Planung";"Wind";"3300";"3300";"";"26.2.2019";"Brandenburg";"16945";"Halenbeck-Rohlsdorf";"";"";"Warnsdorf";"Flur107: 76";"12070096";"53,265059";"12,294082";"";"";"Halenbeck III";"141,5";"117";"Vestas Deutschland GmbH";"Vestas V-117 3,3MW";"";"";"Horizontalläufer";"Windkraft an Land";"26.2.2019";"";"30.6.2020";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"Volleinspeisung";"SGE905979226850";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"";"Umspannebene Hochspannung/Mittelspannung";"";"";"";"";"";"";"";"";"";""
